Size, Type, Time
100000, "Sequential", 0.029503
100000, "Parallel", 0.082005
100000, "Built-in", 0.033686
100000, "Sequential", 0.030744
100000, "Parallel", 0.075778
100000, "Built-in", 0.033584
100000, "Sequential", 0.029346
100000, "Parallel", 0.075906
100000, "Built-in", 0.034166
100000, "Sequential", 0.037569
100000, "Parallel", 0.083844
100000, "Built-in", 0.033877
100000, "Sequential", 0.030710
100000, "Parallel", 0.076957
100000, "Built-in", 0.033988
100000, "Sequential", 0.030213
100000, "Parallel", 0.067952
100000, "Built-in", 0.034087
100000, "Sequential", 0.029176
100000, "Parallel", 0.072171
100000, "Built-in", 0.034109
100000, "Sequential", 0.030372
100000, "Parallel", 0.064622
100000, "Built-in", 0.036466
100000, "Sequential", 0.030259
100000, "Parallel", 0.065453
100000, "Built-in", 0.034722
100000, "Sequential", 0.030079
100000, "Parallel", 0.063165
100000, "Built-in", 0.034180
200000, "Sequential", 0.072472
200000, "Parallel", 0.085226
200000, "Built-in", 0.071347
200000, "Sequential", 0.061456
200000, "Parallel", 0.086036
200000, "Built-in", 0.076092
200000, "Sequential", 0.061483
200000, "Parallel", 0.100440
200000, "Built-in", 0.070437
200000, "Sequential", 0.059912
200000, "Parallel", 0.097485
200000, "Built-in", 0.069020
200000, "Sequential", 0.061971
200000, "Parallel", 0.094068
200000, "Built-in", 0.070795
200000, "Sequential", 0.060304
200000, "Parallel", 0.098936
200000, "Built-in", 0.072175
200000, "Sequential", 0.059393
200000, "Parallel", 0.105376
200000, "Built-in", 0.070390
200000, "Sequential", 0.060515
200000, "Parallel", 0.086641
200000, "Built-in", 0.070666
200000, "Sequential", 0.059487
200000, "Parallel", 0.091472
200000, "Built-in", 0.071056
200000, "Sequential", 0.073731
200000, "Parallel", 0.087262
200000, "Built-in", 0.071095
300000, "Sequential", 0.099668
300000, "Parallel", 0.123154
300000, "Built-in", 0.123730
300000, "Sequential", 0.097608
300000, "Parallel", 0.133172
300000, "Built-in", 0.109334
300000, "Sequential", 0.098097
300000, "Parallel", 0.120274
300000, "Built-in", 0.111309
300000, "Sequential", 0.096764
300000, "Parallel", 0.093309
300000, "Built-in", 0.112436
300000, "Sequential", 0.095535
300000, "Parallel", 0.114623
300000, "Built-in", 0.107786
300000, "Sequential", 0.096312
300000, "Parallel", 0.095633
300000, "Built-in", 0.112425
300000, "Sequential", 0.096695
300000, "Parallel", 0.131381
300000, "Built-in", 0.107822
300000, "Sequential", 0.097708
300000, "Parallel", 0.134036
300000, "Built-in", 0.106718
300000, "Sequential", 0.096121
300000, "Parallel", 0.130248
300000, "Built-in", 0.109113
300000, "Sequential", 0.091350
300000, "Parallel", 0.131226
300000, "Built-in", 0.119813
400000, "Sequential", 0.131275
400000, "Parallel", 0.139478
400000, "Built-in", 0.146715
400000, "Sequential", 0.127627
400000, "Parallel", 0.127543
400000, "Built-in", 0.146625
400000, "Sequential", 0.124618
400000, "Parallel", 0.130937
400000, "Built-in", 0.147633
400000, "Sequential", 0.125057
400000, "Parallel", 0.140753
400000, "Built-in", 0.146439
400000, "Sequential", 0.127318
400000, "Parallel", 0.152665
400000, "Built-in", 0.146291
400000, "Sequential", 0.127794
400000, "Parallel", 0.152796
400000, "Built-in", 0.147510
400000, "Sequential", 0.126956
400000, "Parallel", 0.135755
400000, "Built-in", 0.161797
400000, "Sequential", 0.146415
400000, "Parallel", 0.152404
400000, "Built-in", 0.144207
400000, "Sequential", 0.128844
400000, "Parallel", 0.130746
400000, "Built-in", 0.146576
400000, "Sequential", 0.129445
400000, "Parallel", 0.125866
400000, "Built-in", 0.146661
500000, "Sequential", 0.173166
500000, "Parallel", 0.167248
500000, "Built-in", 0.185137
500000, "Sequential", 0.172707
500000, "Parallel", 0.180519
500000, "Built-in", 0.186301
500000, "Sequential", 0.158503
500000, "Parallel", 0.156673
500000, "Built-in", 0.194417
500000, "Sequential", 0.155313
500000, "Parallel", 0.168982
500000, "Built-in", 0.186736
500000, "Sequential", 0.161362
500000, "Parallel", 0.184714
500000, "Built-in", 0.190001
500000, "Sequential", 0.175042
500000, "Parallel", 0.166598
500000, "Built-in", 0.186245
500000, "Sequential", 0.159603
500000, "Parallel", 0.166527
500000, "Built-in", 0.187386
500000, "Sequential", 0.163781
500000, "Parallel", 0.181542
500000, "Built-in", 0.189335
500000, "Sequential", 0.165395
500000, "Parallel", 0.170046
500000, "Built-in", 0.186898
500000, "Sequential", 0.189414
500000, "Parallel", 0.161502
500000, "Built-in", 0.188654
600000, "Sequential", 0.195281
600000, "Parallel", 0.177318
600000, "Built-in", 0.227922
600000, "Sequential", 0.195975
600000, "Parallel", 0.203657
600000, "Built-in", 0.228029
600000, "Sequential", 0.210010
600000, "Parallel", 0.178585
600000, "Built-in", 0.225864
600000, "Sequential", 0.205890
600000, "Parallel", 0.182407
