Size, Seq, Par, Libc
100, 0.000022, 0.015274, 0.000025
100, 0.000022, 0.015686, 0.000022
100, 0.000023, 0.014714, 0.000024
100, 0.000021, 0.014108, 0.000022
100, 0.000022, 0.011493, 0.000023
1000, 0.000261, 0.044766, 0.000352
1000, 0.000259, 0.049311, 0.000385
1000, 0.000260, 0.062763, 0.000354
1000, 0.000260, 0.045927, 0.000354
1000, 0.000260, 0.048710, 0.000358
10000, 0.003376, 0.114848, 0.002863
10000, 0.003853, 0.110334, 0.003207
10000, 0.003638, 0.103821, 0.002849
10000, 0.003386, 0.119593, 0.003326
10000, 0.003336, 0.099972, 0.003000
100000, 0.040416, 0.127245, 0.035392
100000, 0.040223, 0.119016, 0.035639
100000, 0.040185, 0.138978, 0.035660
100000, 0.040184, 0.129596, 0.035750
100000, 0.040618, 0.184482, 0.035692
1000000, 0.512586, 0.454842, 0.433005
1000000, 0.482313, 0.449504, 0.433004
1000000, 0.506542, 0.483248, 0.433579
1000000, 0.508371, 0.467760, 0.433229
1000000, 0.499973, 0.450109, 0.433134
